Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Part Status,Core Processor,Core Size,Speed,Connectivity,Peripherals,Number of I/O,Program Memory Size,Program Memory Type,EEPROM Size,RAM Size,Voltage - Supply (Vcc/Vdd),Data Converters,Oscillator Type,Operating Temperature,Mounting Type,Package / Case,Supplier Device Package
DSPIC33FJ128GP802-I/SP-ND,DSPIC33FJ128GP802-I/SP,Microchip Technology,IC MCU 16BIT 128KB FLASH 28SDIP,226,0,5.48,0,1,Tube,dsPIC™ 33F,Active,dsPIC,16-Bit,40 MIPs,"CANbus, I²C, IrDA, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DCI, DMA, I²S, POR, PWM, WDT",21,128KB (128K x 8),FLASH,-,16K x 8,3V ~ 3.6V,A/D 10x10b/12b; D/A 2x16b,Internal,-40°C ~ 85°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",28-SPDIP
DSPIC33FJ128GP802-E/SP-ND,DSPIC33FJ128GP802-E/SP,Microchip Technology,IC MCU 16BIT 128KB FLASH 28SDIP,587,0,6,0,1,Tube,dsPIC™ 33F,Active,dsPIC,16-Bit,40 MIPs,"CANbus, I²C, IrDA, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DCI, DMA, I²S, POR, PWM, WDT",21,128KB (128K x 8),FLASH,-,16K x 8,3V ~ 3.6V,A/D 10x10b/12b; D/A 2x16b,Internal,-40°C ~ 125°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",40-PDIP
DSPIC33FJ128GP202-I/SP-ND,DSPIC33FJ128GP202-I/SP,Microchip Technology,IC MCU 16BIT 128KB FLASH 28SDIP,0,0,4.22303,0,165,Tube,dsPIC™ 33F,Active,dsPIC,16-Bit,40 MIPs,"I²C, IrDA, LINbus, SPI, UART/USART","AC'97, Brown-out Detect/Reset, DMA, I²S, POR, PWM, WDT",21,128KB (128K x 8),FLASH,-,8K x 8,3V ~ 3.6V,A/D 10x10b/12b,Internal,-40°C ~ 85°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",28-SPDIP
DSPIC33FJ128GP202-E/SP-ND,DSPIC33FJ128GP202-E/SP,Microchip Technology,IC MCU 16BIT 128KB FLASH 28SDIP,0,0,4.62473,0,150,Tube,dsPIC™ 33F,Active,dsPIC,16-Bit,40 MIPs,"I²C, IrDA, LINbus, SPI, UART/USART","AC'97, Brown-out Detect/Reset, DMA, I²S, POR, PWM, WDT",21,128KB (128K x 8),FLASH,-,8K x 8,3V ~ 3.6V,A/D 10x10b/12b,Internal,-40°C ~ 125°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",28-SPDIP
DSPIC33EV32GM002-I/SP-ND,DSPIC33EV32GM002-I/SP,Microchip Technology,IC MCU 16BIT 32KB FLASH 28SDIP,250,0,2.78,0,1,Tube,dsPIC™ 33EV,Active,dsPIC,16-Bit,70 MIPs,"I²C, IrDA, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, Motor Control PWM, POR, PWM, WDT",21,32KB (11K x 24),FLASH,-,4K x 8,4.5V ~ 5.5V,A/D 11x10/12b,Internal,-40°C ~ 85°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",40-PDIP
DSPIC33EV32GM002-E/SP-ND,DSPIC33EV32GM002-E/SP,Microchip Technology,IC MCU 16BIT 32KB FLASH 28SDIP,0,0,2.52352,0,270,Tube,"Automotive, AEC-Q100, dsPIC™ 33EV",Active,dsPIC,16-Bit,60 MIPs,"I²C, IrDA, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, Motor Control PWM, POR, PWM, WDT",21,32KB (11K x 24),FLASH,-,4K x 8,4.5V ~ 5.5V,A/D 11x10/12b,Internal,-40°C ~ 125°C (TA),Through Hole,"28-DIP (0.300"", 7.62mm)",28-SPDIP
PIC18LF47K42-E/P-ND,PIC18LF47K42-E/P,Microchip Technology,IC MCU 8BIT 128KB FLASH 40DIP,593,0,2.79,0,1,Tube,PIC® XLP™ 18F,Active,PIC,8-Bit,64MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, HLVD, POR, PWM, WDT",36,128KB (64K x 16),FLASH,1K x 8,8K x 8,2.3V ~ 5.5V,A/D 35x12b; D/A 1x5b,Internal,-40°C ~ 125°C (TA),Through Hole,"40-DIP (0.600"", 15.24mm)",40-PDIP
PIC18LF47K42-I/P-ND,PIC18LF47K42-I/P,Microchip Technology,IC MCU 8BIT 128KB FLASH 40DIP,596,0,2.56,0,1,Tube,PIC® XLP™ 18F,Active,PIC,8-Bit,64MHz,"I²C, LINbus, SPI, UART/USART","Brown-out Detect/Reset, DMA, HLVD, POR, PWM, WDT",36,128KB (64K x 16),FLASH,1K x 8,8K x 8,2.3V ~ 5.5V,A/D 35x12b; D/A 1x5b,Internal,-40°C ~ 85°C (TA),Through Hole,"40-DIP (0.600"", 15.24mm)",28-SPDIP
PIC18LF45J10-I/P-ND,PIC18LF45J10-I/P,Microchip Technology,IC MCU 8BIT 32KB FLASH 40DIP,5,0,2.45,0,1,Tube,PIC® 18J,Active,PIC,8-Bit,40MHz,"I²C, SPI, UART/USART","Brown-out Detect/Reset, POR, PWM, WDT",32,32KB (16K x 16),FLASH,-,1K x 8,2V ~ 3.6V,A/D 13x10b,Internal,-40°C ~ 85°C (TA),Through Hole,"40-DIP (0.600"", 15.24mm)",28-SPDIP
PIC18LF44J10-I/P-ND,PIC18LF44J10-I/P,Microchip Technology,IC MCU 8BIT 16KB FLASH 40DIP,90,0,2.35,0,1,Tube,PIC® 18J,Active,PIC,8-Bit,40MHz,"I²C, SPI, UART/USART","Brown-out Detect/Reset, POR, PWM, WDT",32,16KB (8K x 16),FLASH,-,1K x 8,2V ~ 3.6V,A/D 13x10b,Internal,-40°C ~ 85°C (TA),Through Hole,"40-DIP (0.600"", 15.24mm)",28-SPDIP
